site_id,day,month,year,min_temp,max_temp,min_humidity,max_humidity
1,12,5,2015,5.6,12.0,71,99
1,13,5,2015,2.5,11.7,60,96
1,14,5,2015,9.3,16.0,61,88
1,15,5,2015,4.4,17.0,56,99
1,16,5,2015,4.0,15.2,65,99
1,17,5,2015,0.5,14.9,75,99
1,18,5,2015,2.0,14.9,79,100
1,19,5,2015,8.5,14.4,87,100
1,20,5,2015,6.7,14.1,81,100
1,21,5,2015,5.9,13.7,61,99
1,22,5,2015,2.1,12.2,60,99
1,23,5,2015,0.0,15.1,54,99
1,24,5,2015,-1.5,11.8,72,99
1,25,5,2015,4.1,14.0,77,99
1,26,5,2015,2.5,16.4,72,100
1,27,5,2015,5.2,14.9,85,100
1,28,5,2015,7.9,15.6,77,100
1,29,5,2015,2.6,13.4,64,99
1,30,5,2015,6.9,13.9,75,99
1,31,5,2015,1.0,11.9,66,99
1,1,6,2015,-1.1,9.5,64,99
1,2,6,2015,-1.3,11.8,55,99
1,3,6,2015,-0.9,11.6,62,99
1,4,6,2015,0.1,11.4,67,99
1,5,6,2015,5.2,11.6,83,100
1,6,6,2015,7.8,15.0,94,100
1,7,6,2015,11.5,15.5,81,99
1,8,6,2015,9.1,14.3,77,99
1,9,6,2015,4.4,10.7,73,95
1,10,6,2015,0.7,11.5,74,99
1,11,6,2015,1.1,13.9,65,99
1,12,6,2015,-0.2,13.3,61,99
1,13,6,2015,4.5,13.3,76,100
1,14,6,2015,8.5,11.6,96,100
1,15,6,2015,10.1,12.4,85,100
1,16,6,2015,10.9,12.5,84,100
1,17,6,2015,6.4,14.4,69,100
1,18,6,2015,1.2,10.9,48,99
1,19,6,2015,-1.1,10.0,58,99
1,20,6,2015,-2.3,10.0,61,99
1,21,6,2015,-3.0,10.2,59,99
1,22,6,2015,2.9,12.6,68,99
1,23,6,2015,9.7,14.2,74,99
1,24,6,2015,9.0,13.6,86,99
1,25,6,2015,3.6,14.2,76,99
1,26,6,2015,7.9,14.7,73,100
1,27,6,2015,9.7,14.5,70,99
1,28,6,2015,7.2,14.9,74,99
1,29,6,2015,3.7,14.7,70,100
1,30,6,2015,1.1,13.7,72,100
1,1,7,2015,0.9,13.5,70,100
1,2,7,2015,2.5,9.8,62,99
1,3,7,2015,-1.2,11.5,72,99
1,4,7,2015,5.2,13.9,72,100
1,5,7,2015,5.7,12.9,94,100
1,6,7,2015,2.0,10.4,66,100
1,7,7,2015,-1.9,9.7,59,99
1,8,7,2015,-1.2,9.5,80,99
1,9,7,2015,6.6,12.8,90,100
1,10,7,2015,9.7,13.1,77,99
1,11,7,2015,8.6,13.8,77,99
1,12,7,2015,6.7,15.0,64,99
1,13,7,2015,6.5,11.7,61,91
1,14,7,2015,4.2,9.1,67,99
1,15,7,2015,2.0,10.4,58,99
1,16,7,2015,-0.8,9.4,67,99
1,17,7,2015,-1.0,11.2,54,99
1,18,7,2015,-2.1,10.7,53,99
1,19,7,2015,-2.7,10.3,75,99
1,20,7,2015,5.9,10.8,63,99
1,21,7,2015,7.1,13.5,70,98
1,22,7,2015,2.8,14.2,60,99
1,23,7,2015,0.9,13.0,81,100
1,24,7,2015,4.9,12.5,83,100
1,25,7,2015,4.0,12.2,67,100
1,26,7,2015,5.1,8.2,74,99
1,27,7,2015,2.8,12.2,72,99
1,28,7,2015,5.4,13.6,79,99
1,29,7,2015,1.4,11.5,84,100
1,30,7,2015,6.1,12.5,71,99
1,31,7,2015,0.0,11.1,69,99
1,1,8,2015,2.3,10.5,64,99
1,2,8,2015,2.2,10.7,81,99
1,3,8,2015,0.9,7.7,67,99
1,4,8,2015,-1.9,10.6,77,99
1,5,8,2015,1.5,7.7,72,99
1,6,8,2015,-1.2,12.2,69,99
1,7,8,2015,-0.2,13.9,54,100
1,8,8,2015,-0.4,10.6,71,99
1,9,8,2015,3.1,11.4,88,100
1,10,8,2015,6.0,11.0,79,100
1,11,8,2015,6.1,12.1,72,99
1,12,8,2015,6.8,14.5,66,100
1,13,8,2015,4.1,12.3,62,99
1,14,8,2015,4.0,15.2,63,100
1,15,8,2015,-0.2,10.6,84,100
1,16,8,2015,6.3,13.3,77,100
1,17,8,2015,0.5,8.7,66,99
1,18,8,2015,-1.8,11.0,67,99
1,19,8,2015,-1.9,10.2,62,99
1,20,8,2015,0.0,10.2,79,99
1,21,8,2015,8.6,13.4,77,99
1,22,8,2015,7.2,15.4,69,100
1,23,8,2015,4.4,14.2,61,100
1,24,8,2015,0.7,11.2,59,99
1,25,8,2015,-0.7,12.5,59,99
1,26,8,2015,-0.2,12.2,62,99
1,27,8,2015,8.7,14.7,68,99
1,28,8,2015,2.3,12.5,40,80
1,29,8,2015,3.9,14.2,52,85
1,30,8,2015,-0.3,12.5,45,99
1,31,8,2015,-1.7,11.7,56,99
1,1,9,2015,-0.5,12.3,65,99
1,2,9,2015,-0.1,11.2,77,99
1,3,9,2015,5.0,15.8,43,99
1,4,9,2015,1.0,14.9,57,98
1,5,9,2015,3.0,15.5,48,99
1,6,9,2015,9.2,11.8,84,100
1,7,9,2015,8.8,13.7,72,99
1,8,9,2015,6.2,15.8,57,94
1,9,9,2015,3.3,15.6,56,99
1,10,9,2015,5.6,16.4,59,100
1,11,9,2015,6.0,13.9,75,99
1,12,9,2015,5.5,17.8,73,100
1,13,9,2015,6.7,14.7,83,100
1,14,9,2015,8.9,15.9,80,100
1,15,9,2015,6.6,15.5,64,100
1,16,9,2015,2.0,14.5,51,99
1,17,9,2015,3.4,15.6,58,99
1,18,9,2015,4.2,13.9,58,99
1,19,9,2015,8.0,13.3,81,100
1,20,9,2015,9.3,14.1,90,100
1,21,9,2015,6.9,15.3,57,99
1,22,9,2015,5.0,12.3,42,85
1,23,9,2015,-0.4,12.3,48,95
1,24,9,2015,1.7,14.8,49,99
1,25,9,2015,2.3,15.0,64,100
1,26,9,2015,4.4,13.5,76,100
1,27,9,2015,2.9,14.2,75,100
1,28,9,2015,9.5,12.8,86,100
1,29,9,2015,4.0,16.2,51,100
1,30,9,2015,3.5,16.3,46,99
1,1,10,2015,2.6,14.9,76,99
1,2,10,2015,7.9,17.8,65,99
1,3,10,2015,5.8,21.7,35,100
1,4,10,2015,6.6,22.1,28,94
1,5,10,2015,7.1,14.9,84,100
1,6,10,2015,7.2,22.9,49,100
1,7,10,2015,5.4,17.0,37,80
1,8,10,2015,0.0,13.7,0,99
1,9,10,2015,7.5,16.9,56,97
1,10,10,2015,8.9,15.4,73,96
1,11,10,2015,9.7,20.9,36,96
1,12,10,2015,8.9,18.8,41,85
1,13,10,2015,5.9,14.0,62,92
1,14,10,2015,3.8,15.6,66,94
1,15,10,2015,6.7,18.3,68,97
1,16,10,2015,5.7,20.4,38,90
1,17,10,2015,2.4,16.9,44,96
1,18,10,2015,2.0,17.2,48,94
1,19,10,2015,5.2,14.1,64,93
1,20,10,2015,4.4,14.0,76,96
1,21,10,2015,9.6,21.5,45,95
1,22,10,2015,8.4,16.1,49,95
1,23,10,2015,6.8,15.5,48,89
1,24,10,2015,4.1,19.8,42,90
1,25,10,2015,7.7,15.3,69,94
1,26,10,2015,9.5,17.2,50,95
1,27,10,2015,4.3,14.2,52,90
1,28,10,2015,2.8,16.3,58,94
1,29,10,2015,5.1,16.8,63,95
1,30,10,2015,6.3,17.7,64,94
1,31,10,2015,13.6,17.2,76,96
1,1,11,2015,12.7,16.9,69,98
1,2,11,2015,8.4,18.6,40,91
1,3,11,2015,7.8,14.3,57,84
1,4,11,2015,9.1,15.3,56,78
1,5,11,2015,14.3,16.9,71,97
1,6,11,2015,11.7,24.4,47,98
1,7,11,2015,8.2,20.7,39,93
1,8,11,2015,6.9,18.1,54,95
1,9,11,2015,5.7,19.8,64,96
1,10,11,2015,11.3,19.6,33,84
1,11,11,2015,11.1,16.2,56,78
1,12,11,2015,10.5,18.1,66,95
1,13,11,2015,11.0,21.3,31,94
1,14,11,2015,5.9,21.0,35,95
1,15,11,2015,8.4,17.9,63,95
1,16,11,2015,5.9,19.6,47,96
1,17,11,2015,8.8,19.7,62,97
1,18,11,2015,12.4,22.3,46,87
1,19,11,2015,12.5,21.0,40,89
1,20,11,2015,11.0,19.7,54,94
1,21,11,2015,9.9,18.4,45,84
1,22,11,2015,7.9,20.3,45,87
1,23,11,2015,11.1,19.5,50,91
1,24,11,2015,11.8,18.6,56,87
1,25,11,2015,11.7,18.0,59,93
1,26,11,2015,5.9,13.3,49,88
1,27,11,2015,6.4,17.4,40,89
1,28,11,2015,9.5,20.4,52,89
1,29,11,2015,8.9,19.9,46,93
1,30,11,2015,3.8,17.1,67,96
1,1,12,2015,8.0,17.6,44,94
1,2,12,2015,5.3,17.4,38,86
1,3,12,2015,8.6,21.0,48,93
1,4,12,2015,7.5,23.5,49,91
1,5,12,2015,12.4,19.1,70,92
1,6,12,2015,14.0,18.2,62,83
1,7,12,2015,13.8,19.3,60,90
1,8,12,2015,13.9,20.6,62,94
1,9,12,2015,11.6,20.8,38,81
1,10,12,2015,8.7,19.0,57,92
1,11,12,2015,6.5,16.8,39,95
1,12,12,2015,5.8,16.8,43,87
1,13,12,2015,7.4,18.5,48,87
1,14,12,2015,6.6,23.8,38,90
1,15,12,2015,12.1,20.6,57,90
1,16,12,2015,10.1,21.9,57,95
1,17,12,2015,14.8,23.4,59,92
1,18,12,2015,15.4,24.0,62,94
1,19,12,2015,12.4,23.3,63,96
1,20,12,2015,14.4,29.4,44,89
1,21,12,2015,11.9,20.5,31,83
1,22,12,2015,11.9,19.5,55,81
1,23,12,2015,11.8,20.0,55,88
1,24,12,2015,8.2,22.6,59,94
1,25,12,2015,17.8,22.3,67,84
1,26,12,2015,10.5,19.1,47,96
1,27,12,2015,4.5,20.2,35,93
1,28,12,2015,6.7,21.1,46,87
1,29,12,2015,8.1,28.1,23,88
1,30,12,2015,13.0,20.4,64,91
1,31,12,2015,10.4,23.7,59,93
1,1,1,2016,15.1,25.1,55,94
1,2,1,2016,15.3,21.9,48,90
1,3,1,2016,14.0,21.8,42,74
1,4,1,2016,12.6,21.0,49,66
1,5,1,2016,15.0,19.2,59,79
1,6,1,2016,11.9,23.9,41,90
1,7,1,2016,11.3,26.1,28,90
1,8,1,2016,12.7,27.4,30,78
1,9,1,2016,11.9,30.8,11,72
1,10,1,2016,14.6,21.9,56,88
1,11,1,2016,8.7,25.6,30,96
1,12,1,2016,10.5,22.7,43,94
1,13,1,2016,18.4,23.1,61,89
1,14,1,2016,8.8,20.1,32,90
1,15,1,2016,3.3,19.4,39,90
1,16,1,2016,8.7,22.0,48,91
1,17,1,2016,7.4,21.6,58,95
1,18,1,2016,16.2,23.1,65,93
1,19,1,2016,13.0,29.4,24,96
1,20,1,2016,16.0,26.3,34,74
1,21,1,2016,9.7,25.0,29,79
1,22,1,2016,12.7,25.2,35,76
1,23,1,2016,12.7,24.9,36,84
1,24,1,2016,10.8,26.5,34,87
1,25,1,2016,14.5,22.1,54,77
1,26,1,2016,14.2,21.1,53,80
1,27,1,2016,15.8,21.4,54,89
1,28,1,2016,17.6,20.4,78,95
1,29,1,2016,13.4,22.9,63,94
1,30,1,2016,17.7,21.6,64,96
1,31,1,2016,16.8,23.8,59,89
1,1,2,2016,14.7,27.2,45,96
1,2,2,2016,17.2,22.7,70,93
1,3,2,2016,13.9,24.0,35,92
1,4,2,2016,12.8,24.0,49,89
1,5,2,2016,13.8,23.0,65,95
1,6,2,2016,16.7,21.9,61,87
1,7,2,2016,15.1,23.1,64,90
1,8,2,2016,12.9,28.2,30,94
1,9,2,2016,14.5,22.8,59,89
1,10,2,2016,10.6,25.7,37,94
1,11,2,2016,9.6,24.0,36,94
1,12,2,2016,13.1,22.1,62,91
1,13,2,2016,12.6,26.8,38,93
1,14,2,2016,9.2,22.0,37,92
1,15,2,2016,5.6,20.2,48,93
1,16,2,2016,6.9,16.8,42,86
1,17,2,2016,10.9,21.8,45,88
1,18,2,2016,11.1,26.3,41,90
1,19,2,2016,9.7,20.4,31,89
1,20,2,2016,5.4,21.6,44,93
1,21,2,2016,6.4,20.9,60,93
1,22,2,2016,14.6,22.7,70,95
1,23,2,2016,13.7,24.7,54,96
1,24,2,2016,14.8,19.0,87,96
1,25,2,2016,14.9,21.3,56,96
1,26,2,2016,13.5,21.0,48,87
1,27,2,2016,13.9,23.3,52,89
1,28,2,2016,14.5,24.0,41,86
1,29,2,2016,15.1,18.6,73,89
1,1,3,2016,16.9,21.1,72,94
1,2,3,2016,15.0,25.8,46,97
1,3,3,2016,11.6,21.8,56,93
1,4,3,2016,13.6,21.3,66,94
1,5,3,2016,12.8,29.2,31,95
1,6,3,2016,16.2,21.6,63,90
1,7,3,2016,15.4,22.7,58,95
1,8,3,2016,17.3,19.8,76,94
1,9,3,2016,13.6,24.9,49,95
1,10,3,2016,9.2,18.7,69,95
1,11,3,2016,16.1,23.6,68,93
1,12,3,2016,15.0,25.3,61,96
1,13,3,2016,13.8,20.6,71,94
1,14,3,2016,12.4,22.1,59,93
1,15,3,2016,13.2,19.5,43,65
1,16,3,2016,14.0,19.7,53,72
1,17,3,2016,17.0,21.3,67,89
1,18,3,2016,11.5,20.0,56,94
1,19,3,2016,8.5,18.8,37,84
1,20,3,2016,5.4,18.7,49,90
1,21,3,2016,6.9,19.0,62,94
1,22,3,2016,9.5,18.9,72,96
1,23,3,2016,8.7,21.2,51,97
1,24,3,2016,7.8,22.5,36,89
1,25,3,2016,6.5,20.2,59,93
1,26,3,2016,7.6,20.5,49,96
1,27,3,2016,4.1,18.2,39,96
1,28,3,2016,4.3,17.3,45,95
1,29,3,2016,3.7,18.7,52,94
1,30,3,2016,8.4,20.4,43,88
1,31,3,2016,7.0,20.4,72,93
1,1,4,2016,14.6,20.6,68,93
1,2,4,2016,9.1,18.5,46,91
1,3,4,2016,4.7,16.9,50,95
1,4,4,2016,6.7,17.2,62,96
1,5,4,2016,11.5,22.3,48,91
1,6,4,2016,5.3,17.1,45,91
1,7,4,2016,3.3,16.3,60,96
1,8,4,2016,6.5,19.8,58,96
1,9,4,2016,8.2,19.8,52,98
1,10,4,2016,12.3,19.6,53,91
1,11,4,2016,11.2,17.1,56,87
1,12,4,2016,6.8,19.6,40,96
1,13,4,2016,6.5,17.8,61,96
1,14,4,2016,11.2,17.4,69,95
1,15,4,2016,7.3,18.9,59,98
1,16,4,2016,5.9,15.7,50,97
1,17,4,2016,6.0,16.7,54,94
1,18,4,2016,3.7,17.7,74,97
1,19,4,2016,6.3,20.5,61,99
1,20,4,2016,6.4,18.5,61,97
1,21,4,2016,10.6,18.8,73,96
